dh_demand,el_demand,price_el
2.784274921,3.99543379,19.95
2.732926571,3.99543379,18.72
2.768048495,3.99543379,17.27
2.835895491,3.99543379,16.65
2.876004614,3.99543379,16.74
2.993183766,3.99543379,15.94
2.997415869,3.99543379,14.2
3.051022947,3.99543379,17.84
3.01652772,3.99543379,24.58
2.812321206,3.99543379,26.16
2.324635685,3.99543379,25.78
1.895574986,3.99543379,26.18
1.683230171,3.99543379,24.98
1.79913439,3.99543379,22.88
1.855668387,3.99543379,23.22
2.109443999,3.99543379,26.98
2.397034501,3.99543379,31.33
3.405627878,3.99543379,36.18
3.740361787,3.99543379,36.77
3.708366273,3.99543379,34.9
3.496349629,3.99543379,27.22
3.393251713,3.99543379,27.09
3.266687994,3.99543379,26.17
3.083283463,3.99543379,24.66
3.003389077,3.99543379,27.11
2.956870581,3.99543379,25.31
2.928387252,3.99543379,22.87
2.945707074,3.99543379,22.18
3.005244533,3.99543379,22.66
3.084101811,3.99543379,22.72
3.060672204,3.99543379,21.73
3.131032669,3.99543379,24.98
3.041895314,3.99543379,26.97
2.839982971,3.99543379,29.38
2.315942577,3.99543379,32.29
1.867524344,3.99543379,33.28
1.637047635,3.99543379,33.25
1.757243131,3.99543379,31.32
1.812384604,3.99543379,29.71
2.052479086,3.99543379,29.58
2.33239859,3.99543379,31.87
3.315197361,3.99543379,36.27
3.643137588,3.99543379,37.79
3.623933888,3.99543379,36.11
3.416929696,3.99543379,32.9
3.313953213,3.99543379,30.77
3.18535576,3.99543379,29.43
3.005216474,3.99543379,26.47
2.933445912,3.99543379,26.67
2.881031668,3.99543379,25.27
2.85349249,3.99543379,23.86
2.871903999,3.99543379,25.64
2.934700747,3.99543379,25.64
2.993416384,3.99543379,25.21
2.962401741,3.99543379,24.88
3.031561431,3.99543379,28.79
2.964458826,3.99543379,29.7
2.757873397,3.99543379,31.8
2.247634889,3.99543379,32.06
1.811986128,3.99543379,32.98
1.634938081,3.99543379,32.74
1.754858462,3.99543379,32.17
1.809887924,3.99543379,33.37
2.049430814,3.99543379,37.47
2.328794198,3.99543379,37.2
3.308528073,3.99543379,40.74
3.636196564,3.99543379,43.33
3.617427083,3.99543379,40.96
3.411073244,3.99543379,38
3.30815276,3.99543379,34.73
3.179658386,3.99543379,31.8
2.999856567,3.99543379,30.64
2.928060518,3.99543379,23.46
2.875713968,3.99543379,21.89
2.848159536,3.99543379,21.48
2.866513321,3.99543379,20.57
2.929030549,3.99543379,21.63
2.987452228,3.99543379,24.96
2.956381975,3.99543379,30.9
3.025127776,3.99543379,39.13
2.958221827,3.99543379,49.21
2.752059086,3.99543379,47.09
2.243276721,3.99543379,42.93
1.80909216,3.99543379,42.93
1.607188308,3.99543379,40.83
1.726367889,3.99543379,38.91
1.781044907,3.99543379,39.29
2.016785345,3.99543379,42.69
2.291132105,3.99543379,46.77
3.26773086,3.99543379,55.18
3.58865737,3.99543379,59.33
3.568337606,3.99543379,55.76
3.363593419,3.99543379,41.12
3.26274044,3.99543379,37.91
3.136912392,3.99543379,35.5
2.958947791,3.99543379,32.34
2.88900012,3.99543379,23.44
2.837032242,3.99543379,21.9
2.810516447,3.99543379,21.59
2.829153904,3.99543379,20.86
2.892872265,3.99543379,21.94
2.951216708,3.99543379,25.03
2.921599271,3.99543379,30.82
2.990916481,3.99543379,39.16
2.924536249,3.99543379,49.42
2.721354552,3.99543379,47.31
2.215718273,3.99543379,43.02
1.78206428,3.99543379,42.94
1.342831735,3.99543379,40.76
1.442752958,3.99543379,38.84
1.488074262,3.99543379,39.2
1.665333487,3.99543379,42.65
1.886157482,3.99543379,46.7
2.746909783,3.99543379,55.24
3.075024406,3.99543379,59.54
3.059674635,3.99543379,55.81
2.874843551,3.99543379,41.11
2.783589871,3.99543379,37.84
2.68345929,3.99543379,35.44
2.528651352,3.99543379,32.26
2.460039501,3.99543379,23.71
2.406654288,3.99543379,22.9
2.377887527,3.99543379,22.4
2.395702668,3.99543379,22.51
2.453652056,3.99543379,23.46
2.508094002,3.99543379,24.77
2.495868688,3.99543379,27.44
2.565853509,3.99543379,31.49
2.498838281,3.99543379,39.8
2.336443758,3.99543379,39.75
1.896508203,3.99543379,38.93
1.503579932,3.99543379,38.74
1.169379131,3.99543379,37.74
1.239451606,3.99543379,36.95
1.274849851,3.99543379,37.14
1.433061851,3.99543379,40.08
1.620888329,3.99543379,42.89
2.341430794,3.99543379,46.78
2.552621986,3.99543379,48.23
2.495317086,3.99543379,45.73
2.345300939,3.99543379,34.9
2.267826376,3.99543379,33.73
2.190398077,3.99543379,31.54
2.081128351,3.99543379,29.05
2.026511008,3.99543379,29.85
1.976594094,3.99543379,28.94
1.967005267,3.99543379,28.3
1.995903487,3.99543379,27.5
2.077123015,3.99543379,28.27
2.140263251,3.99543379,31.51
2.138775275,3.99543379,38.3
2.175660353,3.99543379,47.03
2.108524438,3.99543379,58.22
1.996065287,3.99543379,54.79
1.626548542,3.99543379,51.74
1.30364749,3.99543379,50.09
1.449109824,3.99543379,47.57
1.650440199,3.99543379,47.03
1.646029304,3.99543379,46.86
2.060690818,3.99543379,50.28
2.585312213,3.99543379,54.1
3.350935837,3.99543379,62.72
3.18125842,3.99543379,67.1
3.226612731,3.99543379,62.98
3.110908788,3.99543379,46.65
3.010378103,3.99543379,42.66
2.874607028,3.99543379,39.38
2.726438963,3.99543379,35.41
2.633037628,3.99543379,29.69
2.569577133,3.99543379,28.71
2.60492693,3.99543379,28.04
2.59704564,3.99543379,27.36
2.704563909,3.99543379,28.16
2.863106282,3.99543379,31.26
2.937842875,3.99543379,37.83
2.986133866,3.99543379,46.57
3.047683147,3.99543379,57.79
2.831050535,3.99543379,54.36
2.304329319,3.99543379,51.06
1.738156584,3.99543379,49.14
1.888966487,3.99543379,46.43
2.018001974,3.99543379,45.11
2.081035811,3.99543379,44.84
2.365250269,3.99543379,47.72
2.687656223,3.99543379,51.85
3.808716171,3.99543379,60.15
4.185495473,3.99543379,64.25
4.151131928,3.99543379,60.1
3.914834298,3.99543379,44.55
3.799014109,3.99543379,40.73
3.656695529,3.99543379,38.07
3.451747323,3.99543379,35.56
3.361442853,3.99543379,32.77
3.309581761,3.99543379,30.89
3.277231918,3.99543379,28.94
3.29625978,3.99543379,28.26
3.361497296,3.99543379,28.46
3.449301317,3.99543379,28.61
3.422502982,3.99543379,27.74
3.499865533,3.99543379,31.56
3.400124264,3.99543379,33.98
3.174249127,3.99543379,36.93
2.590625534,3.99543379,40.48
2.092789046,3.99543379,40.82
1.792681812,3.99543379,40.65
1.923589518,3.99543379,38.63
1.983660689,3.99543379,35.96
2.246082807,3.99543379,35.45
2.552381204,3.99543379,37.33
3.620370435,3.99543379,42.35
3.980358833,3.99543379,44.36
3.960635432,3.99543379,42.28
3.735196699,3.99543379,37.87
3.622296667,3.99543379,34.72
3.481194589,3.99543379,33.11
3.284582334,3.99543379,29.95
3.205560096,3.99543379,24.58
3.148355181,3.99543379,22.99
3.117901749,3.99543379,21.87
3.137765256,3.99543379,23.74
3.205364588,3.99543379,23.08
3.268949073,3.99543379,22
3.234504864,3.99543379,20.15
3.309032439,3.99543379,24.08
3.235978515,3.99543379,25.74
3.010187797,3.99543379,28.1
2.454852103,3.99543379,28.81
1.981916921,3.99543379,30.27
1.769656655,3.99543379,29.66
1.898840231,3.99543379,28.41
1.958133927,3.99543379,28.58
2.216987825,3.99543379,33.4
2.519173616,3.99543379,33.61
3.57251292,3.99543379,38.64
3.927928888,3.99543379,42.72
3.908741969,3.99543379,40.88
3.686462704,3.99543379,37.99
3.574942994,3.99543379,34.75
3.435619244,3.99543379,32.19
3.241566776,3.99543379,30.68
3.163484655,3.99543379,25.6
3.10699231,3.99543379,24.73
3.076910762,3.99543379,24.25
3.096518606,3.99543379,23.73
3.163175243,3.99543379,25.04
3.225795905,3.99543379,29.3
3.191748139,3.99543379,37.38
3.265116653,3.99543379,46.52
3.19306693,3.99543379,57.98
2.97029156,3.99543379,54.74
2.422534084,3.99543379,51.4
1.956143639,3.99543379,49.9
1.98379133,3.99543379,47.44
2.129145812,3.99543379,46.88
2.195867775,3.99543379,46.94
2.485510091,3.99543379,50.65
2.823435854,3.99543379,54.29
4.008434957,3.99543379,62.66
4.406816146,3.99543379,67.38
4.384993259,3.99543379,63.7
4.135349036,3.99543379,46.98
4.01058761,3.99543379,42.9
3.854593408,3.99543379,39.58
3.636519853,3.99543379,35.45
3.549109795,3.99543379,29.98
3.485402556,3.99543379,29.14
3.45195889,3.99543379,28.6
3.474241003,3.99543379,27.88
3.550075237,3.99543379,28.73
3.620276467,3.99543379,31.97
3.582564091,3.99543379,38.8
3.665088906,3.99543379,47.6
3.584235148,3.99543379,59.03
3.334549685,3.99543379,55.52
2.718889769,3.99543379,52.04
2.193836917,3.99543379,50.31
2.229790901,3.99543379,47.59
2.298499974,3.99543379,46.99
2.371237663,3.99543379,47.11
2.561241395,3.99543379,50.79
2.723480515,3.99543379,54.41
4.015268756,3.99543379,63.02
4.552738975,3.99543379,67.94
4.537243901,3.99543379,64.01
4.493542425,3.99543379,47.2
4.260616013,3.99543379,43.07
4.02713739,3.99543379,39.78
3.883773976,3.99543379,35.74
3.726284941,3.99543379,30.11
3.633733908,3.99543379,29.28
3.602014176,3.99543379,28.77
3.597549668,3.99543379,28.06
3.651138915,3.99543379,28.93
3.729059256,3.99543379,32.17
3.756299353,3.99543379,39.02
3.758108038,3.99543379,47.83
3.63776921,3.99543379,59.33
3.340701294,3.99543379,55.8
2.865882513,3.99543379,52.23
2.378403531,3.99543379,50.48
2.431643362,3.99543379,47.73
2.506749789,3.99543379,47.11
2.55487711,3.99543379,47.29
2.737641494,3.99543379,51.01
2.935105985,3.99543379,54.6
4.308124229,3.99543379,63.22
4.703447524,3.99543379,68.23
4.676478091,3.99543379,64.34
4.553833031,3.99543379,47.43
4.373936031,3.99543379,43.26
4.165493134,3.99543379,39.96
4.043546563,3.99543379,35.91
3.891671486,3.99543379,30.29
3.813181522,3.99543379,29.48
3.803743818,3.99543379,28.98
3.783855808,3.99543379,28.29
3.887409653,3.99543379,29.18
3.974353434,3.99543379,32.43
4.018827304,3.99543379,39.3
3.997628962,3.99543379,48.12
3.874342809,3.99543379,59.68
3.591154818,3.99543379,56.14
3.112028251,3.99543379,52.48
2.583369223,3.99543379,50.72
2.459926646,3.99543379,47.92
2.5534935,3.99543379,47.3
2.597765971,3.99543379,47.53
2.805873552,3.99543379,51.3
3.075187936,3.99543379,54.86
4.549486556,3.99543379,63.48
4.542563665,3.99543379,68.58
4.476812323,3.99543379,64.75
4.400785127,3.99543379,47.7
4.215906097,3.99543379,43.51
4.035038199,3.99543379,40.2
3.999910572,3.99543379,36.14
3.822837818,3.99543379,30.17
3.781158056,3.99543379,29.28
3.720987663,3.99543379,28.76
3.72607812,3.99543379,28.18
3.804893548,3.99543379,29.11
3.943892886,3.99543379,32.23
3.953641952,3.99543379,38.88
3.976992306,3.99543379,47.68
3.891195141,3.99543379,59.26
3.645701074,3.99543379,55.73
3.148068001,3.99543379,51.82
2.622871325,3.99543379,49.78
1.633623884,3.99543379,46.81
1.74635241,3.99543379,45.41
1.801315793,3.99543379,45.52
2.047738098,3.99543379,48.72
2.326918037,3.99543379,52.63
3.308290795,3.99543379,61.01
3.632908428,3.99543379,65.74
3.601496741,3.99543379,61.94
3.395347562,3.99543379,45.61
3.295323478,3.99543379,41.58
3.172558066,3.99543379,38.9
2.994354231,3.99543379,36.33
2.91696175,3.99543379,33.21
2.871732312,3.99543379,31.41
2.844179605,3.99543379,29.57
2.86108493,3.99543379,28.98
2.919240333,3.99543379,29.26
2.995933114,3.99543379,29.36
2.97331682,3.99543379,28.45
3.041969652,3.99543379,32.26
2.955389781,3.99543379,34.58
2.7592666,3.99543379,37.57
2.249634715,3.99543379,40.72
1.813180317,3.99543379,40.98
1.81215889,3.99543379,40.66
1.944405364,3.99543379,38.49
2.005092586,3.99543379,36.06
2.270304496,3.99543379,35.79
2.579899737,3.99543379,37.37
3.658523181,3.99543379,42.67
4.022528396,3.99543379,45.18
4.002744398,3.99543379,43.34
3.775001917,3.99543379,38.7
3.660861532,3.99543379,35.29
3.518193954,3.99543379,33.69
